YEAR,MO,DY,PRECTOTCORR,TS
1983,11,2,0.0,17.3
1983,11,3,0.0,19.0
1983,11,4,0.05,18.61
1983,11,5,0.02,19.72
1983,11,6,0.13,20.56
1983,11,7,0.09,19.99
1983,11,8,0.02,20.58
1983,11,9,0.0,20.2
1983,11,10,0.0,20.62
1983,11,11,0.0,20.93
1983,11,12,0.03,20.83
1983,11,13,0.05,20.17
1983,11,14,0.24,20.64
1983,11,15,0.26,18.85
1983,11,16,0.04,18.94
1983,11,17,0.6,18.23
1983,11,18,0.01,17.06
1983,11,19,0.0,15.48
1983,11,20,0.0,15.06
1983,11,21,0.0,15.96
1983,11,22,0.0,16.52
1983,11,23,0.0,17.25
1983,11,24,0.0,16.53
1983,11,25,0.0,16.16
1983,11,26,0.0,17.07
1983,11,27,0.0,18.71
1983,11,28,0.0,19.74
1983,11,29,0.0,20.45
1983,11,30,0.0,20.26
1983,12,1,0.0,19.04
1983,12,2,0.05,18.08
1983,12,3,0.24,19.29
1983,12,4,0.19,18.93
1983,12,5,0.0,18.44
1983,12,6,0.02,17.6
1983,12,7,0.0,18.56
1983,12,8,0.0,19.26
1983,12,9,0.0,19.22
1983,12,10,0.0,18.14
1983,12,11,0.0,16.43
1983,12,12,0.0,15.79
1983,12,13,0.0,16.14
1983,12,14,0.0,16.31
1983,12,15,0.0,16.58
1983,12,16,0.0,17.25
1983,12,17,0.0,18.31
1983,12,18,0.0,17.43
1983,12,19,0.0,16.68
1983,12,20,0.0,16.93
1983,12,21,0.0,18.14
1983,12,22,0.11,18.93
1983,12,23,0.46,18.61
1983,12,24,0.74,18.27
1983,12,25,0.06,18.55
1983,12,26,0.16,18.74
1983,12,27,0.0,17.93
1983,12,28,0.63,17.93
1983,12,29,0.05,17.84
1983,12,30,0.0,18.09
1983,12,31,0.0,18.61
1984,1,1,0.0,18.71
1984,1,2,0.0,17.7
1984,1,3,0.0,16.59
1984,1,4,0.0,16.57
1984,1,5,0.0,16.08
1984,1,6,0.32,16.1
1984,1,7,0.02,17.61
1984,1,8,0.65,18.92
1984,1,9,0.05,18.36
1984,1,10,0.0,17.59
1984,1,11,0.0,17.13
1984,1,12,0.0,17.98
1984,1,13,0.0,18.21
1984,1,14,0.0,19.33
1984,1,15,0.0,19.28
1984,1,16,0.0,18.52
1984,1,17,0.0,17.14
1984,1,18,0.0,18.36
1984,1,19,0.0,17.57
1984,1,20,0.0,17.16
1984,1,21,0.0,17.21
1984,1,22,0.0,18.24
1984,1,23,0.0,19.69
1984,1,24,0.0,20.43
1984,1,25,0.0,20.14
1984,1,26,0.0,20.35
1984,1,27,0.0,19.95
1984,1,28,0.0,19.26
1984,1,29,0.0,19.36
1984,1,30,0.0,20.11
1984,1,31,0.0,20.23
1984,2,1,0.01,19.22
1984,2,2,0.02,19.47
1984,2,3,0.0,18.0
1984,2,4,0.0,18.05
1984,2,5,0.0,19.4
1984,2,6,0.0,20.4
1984,2,7,0.0,21.24
1984,2,8,0.0,20.29
1984,2,9,0.0,18.86
1984,2,10,0.0,18.55
1984,2,11,0.0,18.64
1984,2,12,0.0,19.34
1984,2,13,0.0,19.18
1984,2,14,0.0,18.41
1984,2,15,0.0,18.13
1984,2,16,0.0,18.45
1984,2,17,0.0,18.0
1984,2,18,0.0,17.3
1984,2,19,0.0,19.51
1984,2,20,0.0,20.89
1984,2,21,0.0,19.48
1984,2,22,0.0,18.77
1984,2,23,0.0,20.4
1984,2,24,0.0,21.87
1984,2,25,0.0,22.09
1984,2,26,0.49,23.08
1984,2,27,1.28,23.63
1984,2,28,0.62,23.86
1984,2,29,0.54,24.07
1984,3,1,0.02,21.94
1984,3,2,0.0,22.59
1984,3,3,0.0,22.9
1984,3,4,0.0,23.02
1984,3,5,0.0,23.74
1984,3,6,0.0,23.3
1984,3,7,0.0,24.35
1984,3,8,0.0,24.38
1984,3,9,0.0,24.27
1984,3,10,0.0,21.95
1984,3,11,0.0,21.03
1984,3,12,0.0,23.87
1984,3,13,0.0,24.62
1984,3,14,0.0,26.1
1984,3,15,0.99,25.78
1984,3,16,0.27,26.51
1984,3,17,0.0,26.75
1984,3,18,0.0,25.78
1984,3,19,0.0,25.14
1984,3,20,0.48,24.75
1984,3,21,2.68,25.54
1984,3,22,0.02,25.42
1984,3,23,0.62,25.59
1984,3,24,0.05,25.65
1984,3,25,0.0,26.13
1984,3,26,0.48,26.69
1984,3,27,0.04,26.73
1984,3,28,0.0,26.01
1984,3,29,0.0,25.49
1984,3,30,3.44,25.67
1984,3,31,0.21,25.67
1984,4,1,0.07,25.43
1984,4,2,0.59,26.63
1984,4,3,0.21,26.63
1984,4,4,0.01,26.77
1984,4,5,0.0,25.38
1984,4,6,0.04,26.87
1984,4,7,1.55,26.68
1984,4,8,0.0,26.48
1984,4,9,0.0,27.24
1984,4,10,0.0,25.79
1984,4,11,0.36,26.36
1984,4,12,0.59,25.8
1984,4,13,1.34,26.8
1984,4,14,0.62,26.0
1984,4,15,1.27,25.6
1984,4,16,0.06,27.45
1984,4,17,0.0,26.82
1984,4,18,0.0,27.11
1984,4,19,0.0,27.64
1984,4,20,0.0,26.63
1984,4,21,0.83,27.99
1984,4,22,0.02,27.45
1984,4,23,0.0,27.96
1984,4,24,0.06,27.87
1984,4,25,0.71,27.14
1984,4,26,0.02,27.51
1984,4,27,0.0,28.2
1984,4,28,0.0,27.81
1984,4,29,0.0,27.47
1984,4,30,0.01,27.93
1984,5,1,0.1,27.15
1984,5,2,0.25,26.76
1984,5,3,0.89,26.38
1984,5,4,0.7,26.55
1984,5,5,1.38,27.42
1984,5,6,0.15,28.26
1984,5,7,0.98,27.7
1984,5,8,0.26,27.56
1984,5,9,0.57,26.13
1984,5,10,1.33,25.89
1984,5,11,30.32,22.57
1984,5,12,25.19,21.77
1984,5,13,18.19,20.84
1984,5,14,6.03,21.93
1984,5,15,10.08,21.44
1984,5,16,9.47,21.89
1984,5,17,15.86,19.74
1984,5,18,3.69,19.43
1984,5,19,15.43,19.78
1984,5,20,8.94,21.88
1984,5,21,0.5,22.9
1984,5,22,0.57,23.03
1984,5,23,0.52,23.14
1984,5,24,0.9,23.22
1984,5,25,2.08,22.65
1984,5,26,15.29,21.49
1984,5,27,2.23,21.53
1984,5,28,0.17,21.3
1984,5,29,10.07,22.86
1984,5,30,30.7,21.38
1984,5,31,3.6,21.83
1984,6,1,3.01,21.57
1984,6,2,1.44,22.13
1984,6,3,1.27,22.63
1984,6,4,4.19,21.42
1984,6,5,5.92,21.77
1984,6,6,0.33,22.68
1984,6,7,0.11,22.12
1984,6,8,0.01,21.96
1984,6,9,0.35,22.58
1984,6,10,0.49,22.3
1984,6,11,0.52,22.88
1984,6,12,0.25,23.09
1984,6,13,0.68,23.27
1984,6,14,0.5,23.31
1984,6,15,1.94,22.71
1984,6,16,4.65,21.91
1984,6,17,2.23,21.52
1984,6,18,0.68,21.68
1984,6,19,1.53,22.42
1984,6,20,0.88,22.39
1984,6,21,2.1,21.74
1984,6,22,2.19,21.33
1984,6,23,1.72,21.18
1984,6,24,0.87,21.12
1984,6,25,6.08,21.14
1984,6,26,2.51,21.69
1984,6,27,1.9,22.15
1984,6,28,3.15,21.08
1984,6,29,1.64,21.38
1984,6,30,1.31,21.51
1984,7,1,4.7,21.59
1984,7,2,4.01,21.55
1984,7,3,2.16,20.83
1984,7,4,4.11,21.77
1984,7,5,6.33,21.6
1984,7,6,3.76,22.41
1984,7,7,1.46,23.69
1984,7,8,1.36,23.21
1984,7,9,2.5,22.13
1984,7,10,2.95,22.38
1984,7,11,1.92,22.38
1984,7,12,2.05,22.93
1984,7,13,1.45,22.02
1984,7,14,2.87,21.47
1984,7,15,8.56,20.22
1984,7,16,2.64,21.42
1984,7,17,7.85,21.42
1984,7,18,2.79,20.78
1984,7,19,8.71,20.98
1984,7,20,1.8,22.24
1984,7,21,1.95,21.12
1984,7,22,2.64,22.21
1984,7,23,1.99,22.3
1984,7,24,1.96,21.93
1984,7,25,0.5,20.72
1984,7,26,2.46,22.34
1984,7,27,1.85,21.76
1984,7,28,0.26,21.95
1984,7,29,0.87,22.78
1984,7,30,10.78,21.72
1984,7,31,9.12,21.43
1984,8,1,9.43,21.68
1984,8,2,4.54,21.53
1984,8,3,3.85,21.56
1984,8,4,5.03,21.11
1984,8,5,11.17,22.12
1984,8,6,6.74,21.72
1984,8,7,2.65,19.7
1984,8,8,1.99,21.33
1984,8,9,1.2,22.28
1984,8,10,1.07,22.66
1984,8,11,0.64,22.68
1984,8,12,1.16,21.67
1984,8,13,0.59,20.69
1984,8,14,13.29,21.23
1984,8,15,4.54,21.51
1984,8,16,3.18,21.36
1984,8,17,6.53,22.88
1984,8,18,13.87,21.19
1984,8,19,0.26,21.58
1984,8,20,2.14,21.45
1984,8,21,2.29,22.47
1984,8,22,0.77,22.92
1984,8,23,0.79,22.82
1984,8,24,4.63,22.25
1984,8,25,4.65,21.85
1984,8,26,4.03,21.88
1984,8,27,17.73,21.22
1984,8,28,12.35,20.97
1984,8,29,1.67,20.86
1984,8,30,5.56,21.82
1984,8,31,3.18,22.17
1984,9,1,2.45,22.27
1984,9,2,14.95,21.51
1984,9,3,16.4,21.75
1984,9,4,14.74,21.01
1984,9,5,1.11,21.69
1984,9,6,7.93,21.67
1984,9,7,17.02,20.58
1984,9,8,9.95,19.99
1984,9,9,1.08,20.64
1984,9,10,3.06,20.9
1984,9,11,5.36,20.42
1984,9,12,4.3,20.33
1984,9,13,1.54,20.3
1984,9,14,5.81,20.01
1984,9,15,10.51,20.25
1984,9,16,6.77,20.39
1984,9,17,9.54,20.66
1984,9,18,1.56,20.58
1984,9,19,0.85,21.0
1984,9,20,0.83,20.43
1984,9,21,5.19,19.91
1984,9,22,6.54,18.9
1984,9,23,1.54,19.37
1984,9,24,0.16,20.24
1984,9,25,0.05,19.99
1984,9,26,0.03,20.44
1984,9,27,0.09,21.15
1984,9,28,0.03,20.78
1984,9,29,0.0,21.06
1984,9,30,0.0,20.49
1984,10,1,0.0,19.62
1984,10,2,0.0,20.91
1984,10,3,0.0,20.62
1984,10,4,0.0,19.94
1984,10,5,0.0,18.8
1984,10,6,0.0,17.29
1984,10,7,0.0,18.93
1984,10,8,0.31,19.17
1984,10,9,0.75,20.04
1984,10,10,0.47,20.47
1984,10,11,1.14,20.9
1984,10,12,0.5,21.09
1984,10,13,0.28,20.83
1984,10,14,0.13,20.89
1984,10,15,0.02,20.64
1984,10,16,0.05,21.66
1984,10,17,0.14,21.32
1984,10,18,0.04,21.72
1984,10,19,0.0,20.31
1984,10,20,0.0,19.45
1984,10,21,0.0,18.84
1984,10,22,0.0,18.14
1984,10,23,0.01,19.12
1984,10,24,0.05,19.67
1984,10,25,0.06,19.91
1984,10,26,0.55,19.05
1984,10,27,0.03,19.77
1984,10,28,0.05,20.83
1984,10,29,0.0,20.73
1984,10,30,0.29,21.16
1984,10,31,7.09,20.86
1984,11,1,1.83,20.71
1984,11,2,0.07,21.72
1984,11,3,0.0,22.18
1984,11,4,0.0,21.85
1984,11,5,0.0,20.95
1984,11,6,0.0,21.1
1984,11,7,0.0,21.16
1984,11,8,0.0,22.18
1984,11,9,0.0,21.91
1984,11,10,0.0,22.07
1984,11,11,0.0,21.53
1984,11,12,0.0,22.29
1984,11,13,0.0,22.67
1984,11,14,0.0,22.37
1984,11,15,0.0,21.26
1984,11,16,0.0,20.26
1984,11,17,0.0,18.37
1984,11,18,0.0,18.67
1984,11,19,0.0,19.97
1984,11,20,0.0,20.96
1984,11,21,0.0,21.65
1984,11,22,0.04,21.58
1984,11,23,0.0,21.74
1984,11,24,0.0,21.67
1984,11,25,0.0,21.34
1984,11,26,0.0,20.84
1984,11,27,0.02,21.1
1984,11,28,0.1,21.8
1984,11,29,0.1,21.02
1984,11,30,0.08,21.16
1984,12,1,0.0,19.92
1984,12,2,0.0,18.97
1984,12,3,0.0,19.87
1984,12,4,0.0,19.76
1984,12,5,0.0,17.93
1984,12,6,0.0,16.26
1984,12,7,0.0,17.67
1984,12,8,0.28,19.76
1984,12,9,7.91,20.5
1984,12,10,1.71,21.04
1984,12,11,0.22,21.8
1984,12,12,0.14,22.0
1984,12,13,0.34,21.64
1984,12,14,0.46,21.63
1984,12,15,0.16,20.67
1984,12,16,0.02,17.93
1984,12,17,0.01,16.28
1984,12,18,0.01,18.92
1984,12,19,0.0,19.21
1984,12,20,0.01,19.57
1984,12,21,0.0,19.93
1984,12,22,0.0,21.01
1984,12,23,0.0,20.38
1984,12,24,0.0,19.43
1984,12,25,0.0,20.2
